Index,Combined,Type,Nato Designation,Pennant No.,Name,Name,Commissioned,Tons,Fleet,Status
982,"Yuting III Type 072A landing ship Name: Taihang Shan/太行山, Commisioned:2015, Tons:4800, Fleet:Varies",Type 072A landing ship,Yuting III class,982,Taihang Shan,太行山,2015,4800,Varies,Active
916,"Yuting III Type 072A landing ship Name: Tianmu Shan/天目山, Commisioned:2016, Tons:4800, Fleet:East Sea Fleet",Type 072A landing ship,Yuting III class,916,Tianmu Shan,天目山,2016,4800,East Sea Fleet,Active
914,"Yuting III Type 072A landing ship Name: Wuyi Shan/武夷山, Commisioned:2016, Tons:4800, Fleet:Varies",Type 072A landing ship,Yuting III class,914,Wuyi Shan,武夷山,2016,4800,Varies,Active
915,"Yuting III Type 072A landing ship Name: Culai Shan/徂徕山, Commisioned:2016, Tons:4800, Fleet:Varies",Type 072A landing ship,Yuting III class,915,Culai Shan,徂徕山,2016,4800,Varies,Active
917,"Yuting III Type 072A landing ship Name: Wutai Shan/五台山, Commisioned:2016, Tons:4800, Fleet:Varies",Type 072A landing ship,Yuting III class,917,Wutai Shan,五台山,2016,4800,Varies,Active
998,"Yuzhao Type 071 amphibious transport dock Name: Kunlun Shan/昆仑山, Commisioned:2007, Tons:25000, Fleet:South Sea Fleet",Type 071 amphibious transport dock,Yuzhao class,998,Kunlun Shan,昆仑山,2007,25000,South Sea Fleet,Active
999,"Yuzhao Type 071 amphibious transport dock Name: Jinggang Shan/井冈山, Commisioned:2011, Tons:25000, Fleet:South Sea Fleet",Type 071 amphibious transport dock,Yuzhao class,999,Jinggang Shan,井冈山,2011,25000,South Sea Fleet,Active
989,"Yuzhao Type 071 amphibious transport dock Name: Changbai Shan/长白山, Commisioned:2012, Tons:25000, Fleet:South Sea Fleet",Type 071 amphibious transport dock,Yuzhao class,989,Changbai Shan,长白山,2012,25000,South Sea Fleet,Active
988,"Yuzhao Type 071 amphibious transport dock Name: Yimen Shan/沂蒙山, Commisioned:2016, Tons:25000, Fleet:East Sea Fleet",Type 071 amphibious transport dock,Yuzhao class,988,Yimen Shan,沂蒙山,2016,25000,East Sea Fleet,Active
980,"Yuzhao Type 071 amphibious transport dock Name: Longhu Shan/龙虎山, Commisioned:2018, Tons:25000, Fleet:East Sea Fleet",Type 071 amphibious transport dock,Yuzhao class,980,Longhu Shan,龙虎山,2018,25000,East Sea Fleet,Active
987,"Yuzhao Type 071 amphibious transport dock Name: Wuzhi Shan/五指山, Commisioned:2019, Tons:25000, Fleet:South Sea Fleet",Type 071 amphibious transport dock,Yuzhao class,987,Wuzhi Shan,五指山,2019,25000,South Sea Fleet,Active
986,"Yuzhao Type 071 amphibious transport dock Name: /, Commisioned:2019 est, Tons:25000, Fleet:Varies",Type 071 amphibious transport dock,Yuzhao class,986,,,2019 est,25000,Varies,Fitting Out
165,"Luda Type 051 destroyer Name: Zhanjiang/湛江, Commisioned:1989, Tons:3670, Fleet:South Sea Fleet",Type 051 destroyer,Luda class,165,Zhanjiang,湛江,1989,3670,South Sea Fleet,Active
166,"Luda Type 051 destroyer Name: Zhuhai/珠海, Commisioned:1991, Tons:3670, Fleet:South Sea Fleet",Type 051 destroyer,Luda class,166,Zhuhai,珠海,1991,3670,South Sea Fleet,Active
167,"Luhai Type 051B destroyer Name: Shenzhen/深圳, Commisioned:1999, Tons:6100, Fleet:South Sea Fleet",Type 051B destroyer,Luhai class,167,Shenzhen,深圳,1999,6100,South Sea Fleet,Active
112,"Luhu Type 052 destroyer Name: Harbin/哈尔滨, Commisioned:1994, Tons:4800, Fleet:North Sea Fleet",Type 052 destroyer,Luhu class,112,Harbin,哈尔滨,1994,4800,North Sea Fleet,Active
